Mods count: 288
 
jar name                                                                            | mod id (isMCreator)                                     | mixin configs
GlitchCore-forge-1.20.1-0.0.1.1.jar                                                 | glitchcore                                              | glitchcore.mixins.json, glitchcore.forge.mixins.json
Glodium-1.20-1.5-forge.jar                                                          | glodium                                                 | 
guideme-20.1.15.jar                                                                 | guideme                                                 | guideme.optional.mixins.json
ibo-2.1.1+forge+1.19.3.jar                                                          | ibo                                                     | 
Iceberg-1.20.1-forge-1.1.25.jar                                                     | iceberg                                                 | iceberg.mixins.json
ImmediatelyFast-Forge-1.5.2+1.20.4.jar                                              | immediatelyfast                                         | immediatelyfast-common.mixins.json, immediatelyfast-forge.mixins.json
    /META-INF/jars/Reflect-1.3.4.jar                                                |                                                         | 
immersive_aircraft-1.1.2+1.20.1-forge.jar                                           | immersive_aircraft                                      | immersive_aircraft.mixins.json
    /META-INF/jars/MathParser.org-mXparser-5.2.1.jar                                |                                                         | 
immersive_armors-1.6.1+1.20.1-forge.jar                                             | immersive_armors                                        | immersive_armors.mixins.json
immersive_melodies-0.3.0+1.20.1-forge.jar                                           | immersive_melodies                                      | immersive_melodies.mixin.json
immersive_paintings-0.6.7+1.20.1-forge.jar                                          | immersive_paintings                                     | immersive_paintings.mixin.json
Incendium_1.20.x_v5.3.5.jar                                                         | incendium                                               | 
incontrol-1.20-9.4.5.jar                                                            | incontrol                                               | 
industrial-foregoing-1.20.1-3.5.22.jar                                              | industrialforegoing                                     | 
interiors-1.20.1-forge-0.6.0.jar                                                    | interiors                                               | interiors.mixins.json
Item-Obliterator-NeoForge-MC1.20.1-2.3.1.jar                                        | item_obliterator                                        | item_obliterator.mixins.json
itemobliteratordespawnfix-1.0.0.jar                                                 | itemobliteratordespawnfix                               | itemobliteratordespawnfix.mixins.json
itlt-1.20.01-2.2.1.jar                                                              | itlt                                                    | itlt.mixins.json
jei-1.20.1-forge-15.21.0.138.jar                                                    | jei                                                     | 
jumpboat-1.20.0-1.0.5.jar                                                           | jumpboat                                                | jumpboat.mixin.json
Kiwi-1.20.1-forge-11.6.2.jar                                                        | kiwi                                                    | kiwi.mixins.json
konkrete_forge_1.8.0_MC_1.20-1.20.1.jar                                             | konkrete                                                | konkrete.mixin-refmap.json, konkrete.mixin.json
kotlinforforge-4.12.0-all.jar                                                       |                                                         | 
    /META-INF/jarjar/kfflang-4.12.0.jar                                             |                                                         | 
    /META-INF/jarjar/kfflib-4.12.0.jar                                              |                                                         | 
    /META-INF/jarjar/kffmod-4.12.0.jar                                              | kotlinforforge                                          | 
KryptonReforged-0.2.3.jar                                                           | krypton                                                 | krypton.mixins.json
kubejs-create-forge-2001.3.0-build.8.jar                                            | kubejs_create                                           | 
kubejs-forge-2001.6.5-build.16.jar                                                  | kubejs                                                  | kubejs-common.mixins.json, kubejs-forge.mixins.json
kubejs-mekanism-forge-2001.1.5.1-build.2.jar                                        | kubejs_mekanism                                         | 
kubejs_curios_forge_1.20.1-1.0.4.jar                                                | kubejs_curios                                           | kubejs_curios.mixins.json
kubejsadditions-forge-4.3.4.jar                                                     | kubejsadditions                                         | 
kubejsdelight-1.1.2.jar                                                             | kubejsdelight                                           | kubejsdelight.mixins.json
laserbridges-1.20.1-3-forge.jar                                                     | laserbridges                                            | laserbridges.mixins.json
LittleTiles_BETA_v1.6.0-pre156_mc1.20.1.jar                                         | littletiles                                             | littletiles.mixins.refmap.json, littletiles.mixins.json
lmft-1.0.4+1.20.1-forge.jar                                                         | lmft                                                    | lmft.mixins.json, lmft-common.mixins.json
lootintegrations-1.20.1-3.7.jar                                                     | lootintegrations                                        | lootintegrations.mixins.json
lootjs-forge-1.20.1-2.13.0.jar                                                      | lootjs                                                  | lootjs-forge.mixins.json, lootjs-common.mixins.json
lootr-forge-1.20-0.7.34.89.jar                                                      | lootr                                                   | lootr.mixins.json
LuckPerms-Forge-5.4.102.jar                                                         | luckperms                                               | 
macawsbridgesbop-1.20-1.2.jar                                                       | macawsbridgesbop                                        | 
man_of_many_planes-0.2.0+1.20.1-forge.jar                                           | man_of_many_planes                                      | man_of_many_planes-common.mixins.json, man_of_many_planes.mixins.json
Mantle-1.20.1-1.11.104.jar                                                          | mantle                                                  | 
mcw-bridges-3.1.2-mc1.20.1forge.jar                                                 | mcwbridges                                              | 
mcw-doors-1.1.5-mc1.20.1forge.jar                                                   | mcwdoors                                                | 
mcw-furniture-3.4.1-mc1.20.1forge.jar                                               | mcwfurnitures                                           | 
mcw-mcwfences-1.2.1-mc1.20.1forge.jar                                               | mcwfences                                               | 
mcw-mcwpaths-1.1.1-mc1.20.1forge.jar                                                | mcwpaths                                                | 
mcw-mcwstairs-1.0.2-mc1.20.1forge.jar                                               | mcwstairs                                               | 
mcw-mcwwindows-2.4.2-mc1.20.1forge.jar                                              | mcwwindows                                              | 
mcw-trapdoors-1.1.5-mc1.20.1forge.jar                                               | mcwtrpdoors                                             | 
megacells-forge-2.4.6-1.20.1.jar                                                    | megacells                                               | megacells.forge.mixins.json, megacells.mixins.json
Mekanism-1.20.1-10.4.10.66.jar                                                      | mekanism                                                | 
mekanism_lasers-1.0.10.jar                                                          | mekanism_lasers                                         | 
MekanismAdditions-1.20.1-10.4.10.66.jar                                             | mekanismadditions                                       | 
MekanismGenerators-1.20.1-10.4.10.66.jar                                            | mekanismgenerators                                      | 
MekanismTools-1.20.1-10.4.10.66.jar                                                 | mekanismtools                                           | 
melody_forge_1.0.3_MC_1.20.1-1.20.4.jar                                             | melody                                                  | melody.forge.mixins.json, melody.mixins.json
mes-1.3.4-1.20-forge.jar                                                            | mes                                                     | mes-forge.mixins.json, mes-common.mixins.json
modernfix-forge-5.24.4+mc1.20.1.jar                                                 | modernfix                                               | modernfix-common.mixins.json, modernfix-forge.mixins.json
mods_optimizer-forge-1.20.1-4.3.0.jar                                               | mods_optimizer                                          | 
moonlight-1.20-2.16.28-forge.jar                                                    | moonlight                                               | moonlight.mixins.json, moonlight-common.mixins.json
MouseTweaks-forge-mc1.20.1-2.25.1.jar                                               | mousetweaks                                             | mousetweaks-fabric.mixins.json, mousetweaks.mixins.refmap.json, mousetweaks.mixins.json
naturalist-forge-4.0.3-1.20.1.jar                                                   | naturalist                                              | naturalist-common.mixins.json, naturalist.mixins.json
NaturesCompass-1.20.1-1.11.2-forge.jar                                              | naturescompass                                          | 
Necronomicon-Forge-1.6.0+1.20.1.jar                                                 | necronomicon                                            | necronomicon-common.mixins.json
NoChatRestrictions-Forge-MC1.20.1-v1.0.0.jar                                        | nochatrestrictions                                      | nochatrestrictions.mixins.json
